employee_id,organization_id,position
2e22d918-0337-45f1-bc4c-6765557ad450,0e98fd18-2f51-4165-946d-c4ab629d40a9,部長
2e22d918-0337-45f1-bc4c-6765557ad450,e5e062b6-bb9a-40c6-9613-d4c9b48e92d0,
e107a29a-8901-4aa5-a267-9bd8f890a49b,0e98fd18-2f51-4165-946d-c4ab629d40a9,課長
067eff40-6275-4fd3-9a27-7d19fcf40f69,e5e062b6-bb9a-40c6-9613-d4c9b48e92d0,主任
0660d80d-e55b-441a-9526-52d1083b575a,7342aec4-1e99-48ab-aa2d-b600ede213ab,
a0dfc3c1-9d02-4d74-ba4e-ad9460f8063c,0e98fd18-2f51-4165-946d-c4ab629d40a9,
8cac2a80-147e-4fc1-9ae4-bf297e33228c,e5e062b6-bb9a-40c6-9613-d4c9b48e92d0,係長
abf0914e-daaf-4b1e-81a9-3d68bac43329,7342aec4-1e99-48ab-aa2d-b600ede213ab,部長
fc597b5c-84c0-4873-b206-ee176bd1ce40,0e98fd18-2f51-4165-946d-c4ab629d40a9,
51789f05-e664-4ef4-ba3e-3fb6979f625e,e5e062b6-bb9a-40c6-9613-d4c9b48e92d0,
b7ed0477-2215-4e80-bdaf-826e7b3da86f,7342aec4-1e99-48ab-aa2d-b600ede213ab,課長
